,ilce_adi,mahalle_adi,mahalle_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,mahalle_nufus,segment
208,BEYLÝKDÜZÜ,BARIÞ,40875,12,39,126,306,84,44,222,394,1,2,5,3284,0.0,303.0,499.0,368.0,56.0,378.0,86584,2
209,BEYLÝKDÜZÜ,BÜYÜKÞEHÝR,40877,3,10,30,89,25,13,65,115,0,0,1,1076,0.0,107.0,132.0,51.0,15.0,173.0,51900,3
210,BEYLÝKDÜZÜ,CUMHURÝYET,40874,6,14,40,140,36,19,95,168,1,1,2,1051,0.0,224.0,126.0,91.0,14.0,245.0,20795,3
211,BEYLÝKDÜZÜ,DEREAÐZI,40870,66,203,594,619,24,10,80,159,4,7,14,1785,0.0,1134.0,1027.0,1960.0,192.0,9.0,21674,0
212,BEYLÝKDÜZÜ,GÜRPINAR,40867,39,126,397,450,37,20,104,191,2,2,5,2400,0.0,953.0,510.0,1220.0,191.0,52.0,11644,0
213,BEYLÝKDÜZÜ,KAVAKLI,40873,40,117,369,524,50,27,147,271,3,5,13,2914,0.0,624.0,920.0,997.0,421.0,126.0,19557,2
214,BEYLÝKDÜZÜ,MARMARA,40893,25,80,241,343,56,28,152,271,3,3,7,2506,4.0,336.0,657.0,722.0,89.0,186.0,27566,0
215,BEYLÝKDÜZÜ,SAHÝL,40876,25,65,171,161,12,6,37,67,1,2,4,684,0.0,369.0,277.0,540.0,84.0,22.0,26537,1
216,BEYLÝKDÜZÜ,YAKUPLU,40894,78,213,744,1075,97,53,269,496,4,5,13,4775,37.0,1666.0,1230.0,1522.0,1369.0,42.0,4443,2
217,BEYOÐLU,ARAP CAMÝ,40299,17,29,86,157,0,0,1,2,0,0,1,12,347.0,139.0,2.0,332.0,125.0,31.0,43962,3
218,BEYOÐLU,ASMALI MESCÝT,40281,2,4,21,82,0,0,1,3,0,0,0,112,156.0,107.0,77.0,47.0,276.0,17.0,91,3
219,BEYOÐLU,BEDRETTÝN,40300,3,7,26,63,1,0,2,5,0,0,0,225,199.0,46.0,6.0,231.0,20.0,0.0,463,3
220,BEYOÐLU,BEREKETZADE,40298,4,9,35,89,0,0,1,1,0,0,0,41,163.0,124.0,11.0,95.0,193.0,10.0,752,3
221,BEYOÐLU,BOSTAN,40291,11,23,76,142,7,6,20,37,0,0,0,198,317.0,112.0,8.0,324.0,112.0,1.0,405,3
222,BEYOÐLU,BÜLBÜL,40292,4,14,64,172,1,1,4,9,0,0,0,138,510.0,216.0,16.0,575.0,166.0,1.0,2468,3
223,BEYOÐLU,CAMÝÝKEBÝR,40301,28,46,126,195,14,9,34,62,0,1,1,182,458.0,204.0,8.0,489.0,179.0,2.0,3883,3
224,BEYOÐLU,CÝHANGÝR,40275,2,5,26,111,0,0,2,5,0,0,0,249,237.0,157.0,83.0,113.0,349.0,15.0,2854,3
225,BEYOÐLU,ÇATMA MESCÝT,40283,2,6,25,67,1,1,3,5,0,0,0,169,174.0,92.0,1.0,135.0,124.0,8.0,2504,3
226,BEYOÐLU,ÇUKUR,40293,3,8,32,97,1,1,3,7,0,0,0,59,331.0,56.0,7.0,243.0,144.0,7.0,3482,3
227,BEYOÐLU,EMEKYEMEZ,40269,11,21,68,123,0,0,1,1,0,0,0,3,169.0,156.0,14.0,144.0,181.0,14.0,2735,3
228,BEYOÐLU,EVLÝYA ÇELEBÝ,40282,1,2,8,27,0,0,1,1,0,0,0,46,80.0,23.0,6.0,24.0,72.0,13.0,121,3
229,BEYOÐLU,FETÝHTEPE,40262,8,26,148,387,6,5,19,41,0,0,0,75,1188.0,330.0,135.0,1164.0,487.0,2.0,283,1
230,BEYOÐLU,FÝRUZAÐA,40276,3,9,39,128,1,1,4,8,0,0,0,82,337.0,126.0,58.0,260.0,260.0,1.0,15490,3
231,BEYOÐLU,GÜMÜÞSUYU,40278,2,4,22,86,0,0,2,3,0,0,0,82,225.0,119.0,28.0,116.0,223.0,33.0,4046,3
232,BEYOÐLU,HACIAHMET,40280,16,38,133,292,10,8,28,54,0,0,0,239,522.0,502.0,60.0,629.0,446.0,9.0,2109,3
233,BEYOÐLU,HACIMÝMÝ,40285,17,22,57,102,2,1,5,8,0,0,0,32,215.0,116.0,22.0,188.0,159.0,6.0,15383,3
234,BEYOÐLU,HALICIOÐLU,40304,11,21,80,175,12,7,31,56,0,0,0,1821,336.0,214.0,91.0,229.0,407.0,5.0,1368,3
235,BEYOÐLU,HÜSEYÝNAÐA,40272,1,4,18,69,0,0,1,3,0,0,0,85,169.0,74.0,44.0,76.0,204.0,7.0,13274,3
236,BEYOÐLU,ÝSTÝKLAL,40279,29,66,200,315,10,9,27,50,0,0,1,45,826.0,242.0,83.0,1107.0,30.0,14.0,368,3
237,BEYOÐLU,KADI MEHMET EFENDÝ,40267,7,13,53,137,7,4,19,35,0,0,0,61,254.0,171.0,102.0,178.0,347.0,2.0,4481,3
238,BEYOÐLU,KALYONCU KULLUÐU,40270,4,10,40,107,2,2,6,12,0,0,0,78,331.0,79.0,8.0,217.0,200.0,1.0,10172,3
239,BEYOÐLU,KAMER HATUN,40271,1,5,19,60,1,1,2,4,0,0,0,39,202.0,37.0,9.0,132.0,113.0,3.0,3108,3
240,BEYOÐLU,KAPTANPAÞA,40264,10,28,146,352,12,7,32,64,0,0,1,477,578.0,520.0,202.0,764.0,535.0,1.0,886,3
241,BEYOÐLU,KATÝPMUSTAFA ÇELEBÝ,40274,1,4,20,85,0,0,1,3,0,0,0,24,177.0,95.0,93.0,93.0,265.0,7.0,19818,3
242,BEYOÐLU,KEÇECÝ PÝRÝ,40302,18,39,164,361,10,7,29,55,1,1,1,118,879.0,521.0,86.0,1071.0,415.0,0.0,834,1
243,BEYOÐLU,KEMANKEÞ KARAMUSTAFAPAÞA,40297,23,29,69,100,2,1,5,8,0,0,1,4,232.0,82.0,0.0,128.0,184.0,2.0,14386,3
244,BEYOÐLU,KILIÇALÝ PAÞA,40296,2,5,23,83,0,0,2,5,0,0,0,300,221.0,104.0,15.0,116.0,202.0,22.0,128,3
245,BEYOÐLU,KOCATEPE,40277,3,9,40,132,1,1,2,5,0,0,0,177,364.0,170.0,50.0,255.0,276.0,53.0,2476,3
246,BEYOÐLU,KULAKSIZ,40266,12,21,74,148,12,8,32,58,0,0,0,637,279.0,181.0,35.0,217.0,277.0,1.0,2136,3
247,BEYOÐLU,KULOÐLU,40288,2,5,24,94,0,0,2,4,0,0,0,102,243.0,106.0,49.0,117.0,279.0,2.0,9312,3
248,BEYOÐLU,KÜÇÜK PÝYALE,40268,16,29,97,179,11,8,29,53,0,0,1,199,325.0,240.0,48.0,343.0,266.0,4.0,9706,3
249,BEYOÐLU,MÜEYYETZADE,40286,2,5,22,73,0,0,1,1,0,0,0,25,150.0,120.0,19.0,138.0,144.0,7.0,1463,3
250,BEYOÐLU,ÖMER AVNÝ,40294,4,7,29,91,1,0,5,9,0,0,0,91,230.0,92.0,6.0,98.0,224.0,6.0,518,3
251,BEYOÐLU,ÖRNEKTEPE,40305,22,45,166,311,15,11,40,75,1,1,1,87,775.0,192.0,218.0,936.0,236.0,13.0,2092,1
252,BEYOÐLU,PÝRÝPAÞA,40303,26,55,208,406,21,14,57,106,0,1,1,455,882.0,417.0,136.0,1060.0,374.0,1.0,10556,1
253,BEYOÐLU,PÝYALEPAÞA,40263,9,26,168,490,9,6,26,54,1,0,1,185,1554.0,570.0,12.0,1381.0,755.0,0.0,15706,1
254,BEYOÐLU,PÜRTELAÞ HASAN EFENDÝ,40295,4,8,31,82,1,0,4,7,0,0,0,293,159.0,101.0,20.0,98.0,170.0,12.0,23469,3
255,BEYOÐLU,SURURÝ MEHMET EFENDÝ,40289,15,28,84,140,9,7,24,42,0,0,0,114,365.0,105.0,5.0,359.0,114.0,2.0,1872,3
256,BEYOÐLU,SÜTLÜCE,40306,22,39,123,226,21,13,55,98,0,1,1,992,417.0,160.0,213.0,433.0,348.0,9.0,840,3
257,BEYOÐLU,ÞAHKULU,40284,2,5,23,84,0,0,1,2,0,0,0,207,202.0,87.0,56.0,130.0,211.0,4.0,1493,3
258,BEYOÐLU,ÞEHÝT MUHTAR,40273,3,8,36,140,0,0,2,5,0,0,0,300,420.0,143.0,40.0,227.0,354.0,22.0,4388,3
259,BEYOÐLU,TOMTOM,40287,2,7,31,108,1,1,3,5,0,0,0,229,260.0,107.0,53.0,186.0,227.0,7.0,12474,3
260,BEYOÐLU,YAHYA KAHYA,40290,20,33,92,131,12,8,31,53,0,0,1,646,311.0,114.0,7.0,308.0,124.0,0.0,2657,3
261,BEYOÐLU,YENÝÞEHÝR,40265,5,14,60,159,3,2,9,17,0,0,0,560,283.0,271.0,101.0,458.0,195.0,2.0,3733,3
262,BÜYÜKÇEKMECE,AHMEDÝYE,40891,5,16,60,84,1,0,3,7,0,0,0,117,1.0,242.0,71.0,311.0,2.0,1.0,8337,3
263,BÜYÜKÇEKMECE,ALKENT 2000,40844,12,57,255,386,1,0,6,12,1,1,1,406,0.0,521.0,968.0,1456.0,13.0,20.0,1233,0
264,BÜYÜKÇEKMECE,ATATÜRK,40845,24,75,293,410,28,14,76,145,1,1,2,1933,63.0,738.0,395.0,787.0,409.0,0.0,4635,1
265,BÜYÜKÇEKMECE,BAHÇELÝEVLER,40882,24,111,449,550,0,0,7,23,1,2,1,579,0.0,1106.0,787.0,1881.0,12.0,0.0,18711,0
266,BÜYÜKÇEKMECE,CELALÝYE,40928,7,66,358,608,0,0,4,17,2,3,2,471,0.0,115.0,1886.0,1894.0,107.0,0.0,3428,0
267,BÜYÜKÇEKMECE,CUMHURÝYET,40846,11,48,189,261,9,4,31,62,1,1,2,631,3.0,388.0,444.0,719.0,95.0,21.0,5137,3
268,BÜYÜKÇEKMECE,ÇAKMAKLI,99334,9,27,96,139,7,5,22,41,0,0,0,430,0.0,279.0,215.0,469.0,12.0,13.0,5484,3
269,BÜYÜKÇEKMECE,DÝZDARÝYE,40847,22,43,137,185,20,12,53,95,0,0,1,818,152.0,167.0,229.0,344.0,204.0,0.0,7553,3
